Sentiment,count
Despair,11
Grief,9
Loneliness,9
Sad,9
Embarrassed,8
Confusion,8
Frustration,6
Melancholy,6
Regret,6
Indifference,6
Hate,6
Bad,6
Numbness,6
Disgust,5
Bitterness,5
Frustrated,5
Betrayal,5
Negative,4
Boredom,4
Heartbreak,3
Jealousy,3
Resentment,3
Shame,3
Bitter,3
Devastated,3
Envious,3
Fearful,3
Jealous,3
Sadness,2
Fear,2
Anger,2
Disappointed,2
Loss,2
Helplessness,2
Intimidation,2
Anxiety,2
Envy,2
Isolation,2
Disappointment,2
Sorrow,2
Bittersweet,1
Darkness,1
Exhaustion,1
Suffering,1
Desperation,1
Pressure,1
Ruins,1
Obstacle,1
