Sentiment,count
Neutral,18
Curiosity,16
Serenity,15
Nostalgia,11
Awe,9
Ambivalence,6
Empowerment,5
Reverence,4
Fulfillment,4
Arousal,4
Reflection,4
Enchantment,4
Desolation,4
Dismissive,3
Accomplishment,3
Wonder,3
Free-spirited,3
Zest,2
Contemplation,2
Whimsy,2
Rejuvenation,2
Resilience,2
Apprehensive,2
Emotion,2
Captivation,2
Mischievous,2
Intrigue,1
Mindfulness,1
PlayfulJoy,1
Wonderment,1
JoyfulReunion,1
Dazzle,1
InnerJourney,1
FestiveJoy,1
Melodic,1
DreamChaser,1
CulinaryOdyssey,1
ArtisticBurst,1
Immersion,1
LostLove,1
EmotionalStorm,1
Solitude,1
Heartache,1
Celebration,1
Colorful,1
Hypnotic,1
Adrenaline,1
Connection,1
Iconic,1
Touched,1
Journey,1
Renewed Effort,1
Miscalculation,1
Solace,1
Suspense,1
Breakthrough,1
Envisioning History,1
Vibrancy,1
Imagination,1
Mesmerizing,1
Winter Magic,1
Celestial Wonder,1
Whispers of the Past,1
