Sentiment,count
Positive,45
Joy,44
Excitement,37
Contentment,19
Gratitude,18
Happy,14
Hopeful,9
Acceptance,8
Euphoria,7
Determination,7
Elation,7
Enthusiasm,7
Pride,7
Surprise,6
Playful,6
Inspiration,6
Inspired,5
Happiness,5
Hope,5
Overwhelmed,4
Grateful,4
Proud,4
Compassionate,4
Calmness,4
Admiration,4
Thrill,4
Compassion,4
Tenderness,4
Love,3
Amusement,3
Anticipation,3
Kind,3
Adventure,3
Harmony,3
Creativity,3
Empathetic,3
Satisfaction,3
Confident,3
Enjoyment,2
Affection,2
Adoration,2
Coziness,2
Radiance,2
Tranquility,2
Exploration,2
Yearning,2
Motivation,1
Overjoyed,1
Elegance,1
Pensive,1
Confidence,1
Optimism,1
Appreciation,1
Blessed,1
Spark,1
Marvel,1
Kindness,1
Positivity,1
Success,1
Friendship,1
Amazement,1
Romance,1
Grandeur,1
Freedom,1
Energy,1
Charm,1
Engagement,1
Ecstasy,1
Heartwarming,1
Sympathy,1
Challenge,1
Triumph,1
Joy in Baking,1
Culinary Adventure,1
Nature's Beauty,1
Thrilling Journey,1
Creative Inspiration,1
Runway Creativity,1
Ocean's Freedom,1
Relief,1
